date,screen_resolution,visits
2018-11-30,686x1098,2219
2018-11-30,712x1138,1481
2018-11-30,720x1280,5802
2018-11-30,720x360,2188
2018-11-30,732x412,2981
2018-11-30,740x360,5504
2018-11-30,768x1024,1265932
2018-11-30,800x1232,1097
2018-11-30,800x1280,49581
2018-11-30,800x600,37614
2018-11-30,819x614,2646
2018-11-30,820x615,2476
2018-11-30,823x412,1165
2018-11-30,834x1112,96094
2018-11-30,834x1194,7440
2018-11-30,846x412,6000
2018-11-30,853x480,1185
2018-11-30,853x683,3391
2018-11-30,854x534,5351
2018-11-30,854x683,2158
2018-11-30,864x1536,1206
2018-11-30,911x512,6609
2018-11-30,911x683,3360
2018-11-30,914x514,1457
2018-11-30,942x530,1524
2018-11-30,960x1080,2082
2018-11-30,960x540,6548
2018-11-30,960x600,14650
2018-11-30,962x601,30102
2018-11-30,976x549,2391
2018-11-30,985x788,1188
2018-12-01,0x0,1543
2018-12-01,1012x569,2697
2018-12-01,1024x1043,8313
2018-12-01,1024x1366,92288
2018-12-01,1024x552,1230
2018-12-01,1024x576,8374
2018-12-01,1024x600,25835
2018-12-01,1024x640,9004
2018-12-01,1024x768,232983
2018-12-01,1024x819,16146
2018-12-01,1024x820,12464
2018-12-01,1044x768,1825
2018-12-01,1051x591,4353
2018-12-01,1067x600,18455
2018-12-01,1067x800,1430
2018-12-01,1067x853,1143
2018-12-01,1080x1920,8219
2018-12-01,1080x2220,1433
2018-12-01,1080x720,1520
2018-12-01,1082x2221,1834
2018-12-01,1088x612,1196
2018-12-01,1088x614,2274
2018-12-01,1088x615,2849
2018-12-01,1093x614,50459
2018-12-01,1093x615,41833
2018-12-01,1094x730,1153
2018-12-01,1097x617,12202
2018-12-01,1098x618,5821
2018-12-01,1098x686,2359
2018-12-01,1103x621,1026
2018-12-01,1113x890,1162
2018-12-01,1120x700,8085
2018-12-01,1129x635,1505
2018-12-01,1138x640,10042
2018-12-01,1138x712,1176
2018-12-01,1143x643,1305
2018-12-01,1152x648,1630
2018-12-01,1152x720,24541
2018-12-01,1152x864,10323
2018-12-01,1164x655,2206
2018-12-01,1164x931,1545
2018-12-01,1185x667,1824
2018-12-01,1187x667,1242
2018-12-01,1188x668,9695
2018-12-01,1200x1920,1121
2018-12-01,1200x675,3265
2018-12-01,1200x750,1915
2018-12-01,1200x800,9814
2018-12-01,1216x811,2625
2018-12-01,1219x975,2122
2018-12-01,1229x691,8333
2018-12-01,1231x692,3152
2018-12-01,1235x823,1124
2018-12-01,1239x697,3475
2018-12-01,1241x698,2081
2018-12-01,1242x698,14001
2018-12-01,1252x704,2287
2018-12-01,1280x1024,328401
2018-12-01,1280x2000,1654
2018-12-01,1280x720,516963
2018-12-01,1280x752,2346
2018-12-01,1280x768,22113
2018-12-01,1280x800,711368
2018-12-01,1280x853,2740
2018-12-01,1280x854,4792
2018-12-01,1280x960,59255
2018-12-01,1300x731,3542
2018-12-01,1301x731,20786
2018-12-01,1324x745,5384
2018-12-01,1333x750,5041
2018-12-01,1344x756,1801
2018-12-01,1344x840,33154
2018-12-01,1347x1078,2303
2018-12-01,1360x768,73832
2018-12-01,1364x768,2029
2018-12-01,1365x1024,2780
2018-12-01,1366x768,1982724
2018-12-01,1368x768,2102
2018-12-01,1368x912,48977
2018-12-01,1371x771,6089
2018-12-01,1371x857,1259
2018-12-01,1376x774,1165
2018-12-01,1391x783,4618
2018-12-01,1396x785,1300
2018-12-01,1400x1050,3190
2018-12-01,1400x875,1317
2018-12-01,1408x792,1713
2018-12-01,1422x1138,1784
2018-12-01,1422x800,8158
2018-12-01,1423x800,1565
2018-12-01,1438x808,21521
2018-12-01,1440x2560,2024
2018-12-01,1440x810,2213
2018-12-01,1440x900,1084375
2018-12-01,1440x960,19440
